helping,title,eventtitle,identifier,arg.type,arg.day,arg.month,arg.calendar,arg.status,arg.statusCount,arg.secDayCount,arg.startYear,arg.stopYear,tag,add.category.COMMA,add.rank,add.locale.COMMA,add.freelocale.COMMA,add.freespecial..COMMA,add.alias,add.remark,arg.timer.useTimeZoneOfFrontend,arg.timer.timeZoneOfEvent,arg.timer.ultimateBeginningTimer,arg.timer.ultimateEndingTimer,arg.timer.startTimeSeconds,arg.timer.startDateTime,arg.timer.durationMinutes,arg.timer.durationNatural,arg.timer.activeWeekday,arg.timer.nthWeekdayInMonth,arg.timer.activeMonth,arg.timer.periodLength,arg.timer.periodUnit,arg.timer.namedDateMidnight,arg.timer.relMinToSelectedTimerEvent,arg.timer.calendarUse,arg.timer.moonPhase,arg.timer.moonStatus,arg.timer.latitude,arg.timer.longitude,arg.timer.yamlPeriodFilePath,arg.timer.recursiveLoopLimit,arg.timer.yamlActiveFilePath,arg.timer.yamlForbiddenFilePath,arg.timer.sunPosition,arg.timer.nthWeekdayInMonth,ignored
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Test für Timer,LLL:EXT:timer/Resources/Private/Language/locallang_cal.xlf:calendarDate.christ.greg.testCutomTimerForTimer,greg-testCutomTimerForTimer,txTimerDatePeriod,,,,,,,,,,,,,,,,,,,,,,1970-01-15 00:00:00,1440,,,,,1,DM,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Heiligabend,LLL:EXT:timer/Resources/Private/Language/locallang_cal.xlf:calendarDate.christ.greg.christmasEve,greg-christmasEve,fixed,24,12,gregorian,,,,,,religion,christian,3,"de_DE,lv_LV,de_LI","lv_LV,de_LI",de_DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Weihnachten oder nachfolgender Montag,LLL:EXT:timer/Resources/Private/Language/locallang_cal.xlf:calendarDate.christ.greg.christmasWeekend,greg-christmas,fixedshifting,25,12,gregorian,,"0,0,0,0,0,2,2",,,,religion,christian,5,"en_GB,en_NZ","en_GB,en_NZ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Weihnachten (2. Tag) oder nachfolgender Montag,LLL:EXT:timer/Resources/Private/Language/locallang_cal.xlf:calendarDate.christ.greg.boxingdayWeekend,greg-christmasSecondDay,fixedshifting,26,12,gregorian,,"0,0,0,0,0,2,2",,,,religion,christian,5,"en_GB,en_NZ","en_GB,en_NZ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Weihnachten,LLL:EXT:timer/Resources/Private/Language/locallang_cal.xlf:calendarDate.christ.greg.christmas,greg-christmas,fixed,25,12,gregorian,,,,,,religion,christian,4,"de_DE,fr_FR,es_CR,en_IE,ga_IE,kea_CV,pt_CV,lv_LV,en_LR,vai_Latn_LR,de_LI,hr_HR,fr_MC,es_MX,en_MU,en_MT,mt_MT,pt_MZ","de_DE,fr_FR,es_CR,en_IE,ga_IE,kea_CV,pt_CV,lv_LV,en_LR,vai_Latn_LR,de_LI,hr_HR,fr_MC,es_MX,en_MU,en_MT,mt_MT,pt_MZ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Weihnachten (2. Tag)/ Stephanstag,LLL:EXT:timer/Resources/Private/Language/locallang_cal.xlf:calendarDate.christ.greg.christmasSecondDay,greg-christmasSecondDay,fixed,26,12,gregorian,,,,,,religion,christian,5,"de_DE,fr_FR,en_IE,ga_IE,lv_LV,de_LI,hr_HR","de_DE,en_IE,ga_IE,lv_LV,de_LI,hr_HR",fr_FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Silvester,LLL:EXT:timer/Resources/Private/Language/locallang_cal.xlf:calendarDate.cult.greg.silvester,greg-silvester,fixed,31,12,gregorian,,,,,,culture,,4,"de_DE,fr_FR,lv_LV,de_LI","lv_LV,de_LI",de_DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Neujahr,LLL:EXT:timer/Resources/Private/Language/locallang_cal.xlf:calendarDate.cult.greg.jpNewYear,greg-nzNewYear,fixedshifting,1,1,gregorian,,"0,0,0,0,0,2,2",,,,culture,,4,en_NZ,en_NZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
